	filename	mri_spacing	seg_spacing	mri_size	seg_size	max_label
25	topcow_ct_026	(0.482421875, 0.482421875, 0.70001220703125)	(0.482421875, 0.482421875, 0.70001220703125)	(274, 316, 214)	(274, 316, 214)	12
26	topcow_ct_027	(0.486328125, 0.486328125, 0.70001220703125)	(0.486328125, 0.486328125, 0.70001220703125)	(275, 360, 212)	(275, 360, 212)	12
27	topcow_ct_028	(0.576171875, 0.576171875, 0.70001220703125)	(0.576171875, 0.576171875, 0.70001220703125)	(239, 324, 214)	(239, 324, 214)	12
28	topcow_ct_029	(0.46875, 0.46875, 0.70001220703125)	(0.46875, 0.46875, 0.70001220703125)	(310, 402, 222)	(310, 402, 222)	12
29	topcow_ct_030	(0.48046875, 0.48046875, 0.70001220703125)	(0.48046875, 0.48046875, 0.70001220703125)	(285, 334, 202)	(285, 334, 202)	12
30	topcow_ct_031	(0.466796875, 0.466796875, 0.70001220703125)	(0.466796875, 0.466796875, 0.70001220703125)	(287, 382, 215)	(287, 382, 215)	12
31	topcow_ct_032	(0.419921875, 0.419921875, 0.6999969482421875)	(0.419921875, 0.419921875, 0.6999969482421875)	(320, 418, 206)	(320, 418, 206)	12
32	topcow_ct_033	(0.380859375, 0.380859375, 0.70001220703125)	(0.380859375, 0.380859375, 0.70001220703125)	(346, 450, 198)	(346, 450, 198)	12
33	topcow_ct_034	(0.373046875, 0.373046875, 0.699981689453125)	(0.373046875, 0.373046875, 0.699981689453125)	(369, 480, 211)	(369, 480, 211)	12
34	topcow_ct_035	(0.390625, 0.390625, 0.70001220703125)	(0.390625, 0.390625, 0.70001220703125)	(328, 407, 213)	(328, 407, 213)	12
35	topcow_ct_036	(0.34765625, 0.34765625, 0.6999969482421875)	(0.34765625, 0.34765625, 0.6999969482421875)	(388, 474, 209)	(388, 474, 209)	12
36	topcow_ct_037	(0.33984375, 0.33984375, 0.75)	(0.33984375, 0.33984375, 0.75)	(372, 459, 199)	(372, 459, 199)	12
37	topcow_ct_038	(0.505859375, 0.505859375, 0.6999969482421875)	(0.505859375, 0.505859375, 0.6999969482421875)	(265, 318, 195)	(265, 318, 195)	12
38	topcow_ct_039	(0.421875, 0.421875, 0.70001220703125)	(0.421875, 0.421875, 0.70001220703125)	(339, 362, 228)	(339, 362, 228)	12
39	topcow_ct_040	(0.431640625, 0.431640625, 0.70001220703125)	(0.431640625, 0.431640625, 0.70001220703125)	(313, 393, 226)	(313, 393, 226)	15
40	topcow_ct_041	(0.3828125, 0.3828125, 0.75)	(0.3828125, 0.3828125, 0.75)	(364, 462, 200)	(364, 462, 200)	12
41	topcow_ct_042	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(334, 418, 196)	(334, 418, 196)	12
42	topcow_ct_043	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(323, 407, 208)	(323, 407, 208)	15
43	topcow_ct_044	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(330, 393, 202)	(330, 393, 202)	12
44	topcow_ct_045	(0.388671875, 0.388671875, 0.70001220703125)	(0.388671875, 0.388671875, 0.70001220703125)	(366, 430, 223)	(366, 430, 223)	12
45	topcow_ct_046	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(316, 383, 189)	(316, 383, 189)	15
46	topcow_ct_047	(0.544921875, 0.544921875, 0.75)	(0.544921875, 0.544921875, 0.75)	(253, 349, 204)	(253, 349, 204)	12
47	topcow_ct_048	(0.5078125, 0.5078125, 0.70001220703125)	(0.5078125, 0.5078125, 0.70001220703125)	(280, 348, 220)	(280, 348, 220)	12
48	topcow_ct_049	(0.451171875, 0.451171875, 0.6999969482421875)	(0.451171875, 0.451171875, 0.6999969482421875)	(299, 360, 197)	(299, 360, 197)	12
49	topcow_ct_050	(0.4453125, 0.4453125, 0.7000007629394531)	(0.4453125, 0.4453125, 0.7000007629394531)	(307, 384, 214)	(307, 384, 214)	12
50	topcow_ct_051	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(324, 407, 202)	(324, 407, 202)	12
51	topcow_ct_052	(0.56640625, 0.56640625, 0.75)	(0.56640625, 0.56640625, 0.75)	(241, 320, 193)	(241, 320, 193)	15
52	topcow_ct_053	(0.408203125, 0.408203125, 0.75)	(0.408203125, 0.408203125, 0.75)	(325, 416, 202)	(325, 416, 202)	12
53	topcow_ct_054	(0.408203125, 0.408203125, 0.75)	(0.408203125, 0.408203125, 0.75)	(370, 391, 208)	(370, 391, 208)	12
54	topcow_ct_055	(0.490234375, 0.490234375, 0.70001220703125)	(0.490234375, 0.490234375, 0.70001220703125)	(301, 364, 220)	(301, 364, 220)	12
55	topcow_ct_056	(0.58203125, 0.58203125, 0.300018310546875)	(0.58203125, 0.58203125, 0.300018310546875)	(225, 305, 507)	(225, 305, 507)	15
56	topcow_ct_057	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(341, 376, 202)	(341, 376, 202)	12
57	topcow_ct_058	(0.353515625, 0.353515625, 0.70001220703125)	(0.353515625, 0.353515625, 0.70001220703125)	(391, 467, 209)	(391, 467, 209)	12
58	topcow_ct_059	(0.3984375, 0.3984375, 0.70001220703125)	(0.3984375, 0.3984375, 0.70001220703125)	(359, 437, 203)	(359, 437, 203)	12
59	topcow_ct_060	(0.4609375, 0.4609375, 0.75)	(0.4609375, 0.4609375, 0.75)	(300, 312, 209)	(300, 312, 209)	12
60	topcow_ct_061	(0.62890625, 0.62890625, 0.75)	(0.62890625, 0.62890625, 0.75)	(208, 284, 149)	(208, 284, 149)	12
61	topcow_ct_062	(0.544921875, 0.544921875, 0.75)	(0.544921875, 0.544921875, 0.75)	(264, 316, 205)	(264, 316, 205)	12
62	topcow_ct_063	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(299, 368, 210)	(299, 368, 210)	12
63	topcow_ct_064	(0.404296875, 0.404296875, 0.75)	(0.404296875, 0.404296875, 0.75)	(320, 416, 188)	(320, 416, 188)	12
64	topcow_ct_065	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(309, 355, 192)	(309, 355, 192)	12
65	topcow_ct_066	(0.439453125, 0.439453125, 0.70001220703125)	(0.439453125, 0.439453125, 0.70001220703125)	(294, 406, 223)	(294, 406, 223)	12
66	topcow_ct_067	(0.48046875, 0.48046875, 0.70001220703125)	(0.48046875, 0.48046875, 0.70001220703125)	(288, 356, 203)	(288, 356, 203)	12
67	topcow_ct_068	(0.572265625, 0.572265625, 0.75)	(0.572265625, 0.572265625, 0.75)	(247, 279, 211)	(247, 279, 211)	12
68	topcow_ct_069	(0.3671875, 0.3671875, 0.75)	(0.3671875, 0.3671875, 0.75)	(350, 454, 185)	(350, 454, 185)	12
69	topcow_ct_070	(0.38671875, 0.38671875, 0.75)	(0.38671875, 0.38671875, 0.75)	(322, 464, 191)	(322, 464, 191)	12
70	topcow_ct_071	(0.40625, 0.40625, 0.70001220703125)	(0.40625, 0.40625, 0.70001220703125)	(347, 424, 222)	(347, 424, 222)	15
71	topcow_ct_072	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(306, 347, 203)	(306, 347, 203)	12
72	topcow_ct_073	(0.41796875, 0.41796875, 0.70001220703125)	(0.41796875, 0.41796875, 0.70001220703125)	(335, 400, 231)	(335, 400, 231)	12
73	topcow_ct_074	(0.529296875, 0.529296875, 0.6999969482421875)	(0.529296875, 0.529296875, 0.6999969482421875)	(248, 339, 229)	(248, 339, 229)	12
74	topcow_ct_075	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(309, 374, 195)	(309, 374, 195)	12
75	topcow_ct_076	(0.38671875, 0.38671875, 0.75)	(0.38671875, 0.38671875, 0.75)	(350, 445, 205)	(350, 445, 205)	12
76	topcow_ct_077	(0.390625, 0.390625, 0.70001220703125)	(0.390625, 0.390625, 0.70001220703125)	(378, 481, 221)	(378, 481, 221)	15
77	topcow_ct_078	(0.466796875, 0.466796875, 0.75)	(0.466796875, 0.466796875, 0.75)	(303, 356, 195)	(303, 356, 195)	12
78	topcow_ct_079	(0.46484375, 0.46484375, 0.75)	(0.46484375, 0.46484375, 0.75)	(277, 363, 170)	(277, 363, 170)	12
79	topcow_ct_080	(0.40234375, 0.40234375, 0.75)	(0.40234375, 0.40234375, 0.75)	(315, 415, 190)	(315, 415, 190)	12
80	topcow_ct_081	(0.55859375, 0.55859375, 0.75)	(0.55859375, 0.55859375, 0.75)	(242, 302, 220)	(242, 302, 220)	12
81	topcow_ct_082	(0.41015625, 0.41015625, 0.70001220703125)	(0.41015625, 0.41015625, 0.70001220703125)	(330, 444, 219)	(330, 444, 219)	12
82	topcow_ct_083	(0.447265625, 0.447265625, 0.70001220703125)	(0.447265625, 0.447265625, 0.70001220703125)	(335, 378, 202)	(335, 378, 202)	12
83	topcow_ct_084	(0.423828125, 0.423828125, 0.70001220703125)	(0.423828125, 0.423828125, 0.70001220703125)	(308, 420, 227)	(308, 420, 227)	15
84	topcow_ct_085	(0.5078125, 0.5078125, 0.70001220703125)	(0.5078125, 0.5078125, 0.70001220703125)	(265, 339, 201)	(265, 339, 201)	12
85	topcow_ct_086	(0.490234375, 0.490234375, 0.75)	(0.490234375, 0.490234375, 0.75)	(301, 340, 194)	(301, 340, 194)	12
86	topcow_ct_087	(0.390625, 0.390625, 0.699951171875)	(0.390625, 0.390625, 0.699951171875)	(355, 419, 207)	(355, 419, 207)	12
87	topcow_ct_088	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(296, 379, 198)	(296, 379, 198)	12
88	topcow_ct_089	(0.390625, 0.390625, 0.7000732421875)	(0.390625, 0.390625, 0.7000732421875)	(323, 462, 206)	(323, 462, 206)	12
89	topcow_ct_090	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(320, 376, 212)	(320, 376, 212)	15
90	topcow_ct_131	(0.509765625, 0.509765625, 0.75)	(0.509765625, 0.509765625, 0.75)	(267, 313, 204)	(267, 313, 204)	12
91	topcow_ct_132	(0.541015625, 0.541015625, 0.6999969482421875)	(0.541015625, 0.541015625, 0.6999969482421875)	(238, 307, 207)	(238, 307, 207)	12
92	topcow_ct_133	(0.517578125, 0.517578125, 0.75)	(0.517578125, 0.517578125, 0.75)	(288, 357, 214)	(288, 357, 214)	12
93	topcow_ct_134	(0.390625, 0.390625, 0.699981689453125)	(0.390625, 0.390625, 0.699981689453125)	(347, 450, 213)	(347, 450, 213)	12
94	topcow_ct_135	(0.376953125, 0.376953125, 0.75)	(0.376953125, 0.376953125, 0.75)	(366, 450, 198)	(366, 450, 198)	12
95	topcow_ct_136	(0.375, 0.375, 0.699951171875)	(0.375, 0.375, 0.699951171875)	(370, 428, 205)	(370, 428, 205)	12
96	topcow_ct_137	(0.3984375, 0.3984375, 0.70001220703125)	(0.3984375, 0.3984375, 0.70001220703125)	(320, 425, 196)	(320, 425, 196)	12
97	topcow_ct_138	(0.369140625, 0.369140625, 0.70001220703125)	(0.369140625, 0.369140625, 0.70001220703125)	(400, 418, 222)	(400, 418, 222)	12
98	topcow_ct_139	(0.423828125, 0.423828125, 0.75)	(0.423828125, 0.423828125, 0.75)	(337, 391, 210)	(337, 391, 210)	12
99	topcow_ct_140	(0.3984375, 0.3984375, 0.75)	(0.3984375, 0.3984375, 0.75)	(347, 425, 197)	(347, 425, 197)	12
100	topcow_ct_141	(0.40625, 0.40625, 0.75)	(0.40625, 0.40625, 0.75)	(328, 442, 204)	(328, 442, 204)	12
101	topcow_ct_142	(0.36328125, 0.36328125, 0.70001220703125)	(0.36328125, 0.36328125, 0.70001220703125)	(356, 462, 193)	(356, 462, 193)	12
102	topcow_ct_143	(0.416015625, 0.416015625, 0.75)	(0.416015625, 0.416015625, 0.75)	(314, 437, 188)	(314, 437, 188)	12
103	topcow_ct_144	(0.419921875, 0.419921875, 0.75)	(0.419921875, 0.419921875, 0.75)	(316, 433, 196)	(316, 433, 196)	12
104	topcow_ct_145	(0.443359375, 0.443359375, 0.75)	(0.443359375, 0.443359375, 0.75)	(302, 380, 208)	(302, 380, 208)	12
105	topcow_ct_146	(0.447265625, 0.447265625, 0.70001220703125)	(0.447265625, 0.447265625, 0.70001220703125)	(335, 388, 237)	(335, 388, 237)	12
106	topcow_ct_147	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(310, 379, 192)	(310, 379, 192)	12
107	topcow_ct_148	(0.546875, 0.546875, 0.75)	(0.546875, 0.546875, 0.75)	(252, 326, 199)	(252, 326, 199)	12
108	topcow_ct_149	(0.54296875, 0.54296875, 0.75)	(0.54296875, 0.54296875, 0.75)	(240, 323, 179)	(240, 323, 179)	12
109	topcow_ct_150	(0.41796875, 0.41796875, 0.75)	(0.41796875, 0.41796875, 0.75)	(313, 400, 196)	(313, 400, 196)	12
110	topcow_ct_151	(0.548828125, 0.548828125, 0.75)	(0.548828125, 0.548828125, 0.75)	(249, 301, 189)	(249, 301, 189)	12
111	topcow_ct_152	(0.484375, 0.484375, 0.699981689453125)	(0.484375, 0.484375, 0.699981689453125)	(258, 341, 192)	(258, 341, 192)	12
112	topcow_ct_153	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(313, 407, 204)	(313, 407, 204)	12
113	topcow_ct_154	(0.419921875, 0.419921875, 0.75)	(0.419921875, 0.419921875, 0.75)	(324, 447, 198)	(324, 447, 198)	12
114	topcow_ct_155	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(334, 386, 216)	(334, 386, 216)	12
115	topcow_ct_156	(0.390625, 0.390625, 0.70001220703125)	(0.390625, 0.390625, 0.70001220703125)	(336, 466, 208)	(336, 466, 208)	12
116	topcow_ct_157	(0.376953125, 0.376953125, 0.70001220703125)	(0.376953125, 0.376953125, 0.70001220703125)	(374, 466, 216)	(374, 466, 216)	12
117	topcow_ct_158	(0.603515625, 0.603515625, 0.5)	(0.603515625, 0.603515625, 0.5)	(213, 293, 298)	(213, 293, 298)	12
118	topcow_ct_159	(0.462890625, 0.462890625, 0.75)	(0.462890625, 0.462890625, 0.75)	(314, 362, 193)	(314, 362, 193)	15
119	topcow_ct_160	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(317, 417, 198)	(317, 417, 198)	12
120	topcow_ct_161	(0.40625, 0.40625, 0.75)	(0.40625, 0.40625, 0.75)	(325, 420, 185)	(325, 420, 185)	12
121	topcow_ct_162	(0.556640625, 0.556640625, 0.75)	(0.556640625, 0.556640625, 0.75)	(248, 311, 207)	(248, 311, 207)	15
122	topcow_ct_163	(0.58984375, 0.58984375, 0.75)	(0.58984375, 0.58984375, 0.75)	(240, 305, 190)	(240, 305, 190)	12
123	topcow_ct_164	(0.400390625, 0.400390625, 0.6999969482421875)	(0.400390625, 0.400390625, 0.6999969482421875)	(333, 460, 219)	(333, 460, 219)	12
124	topcow_ct_165	(0.50390625, 0.50390625, 0.75)	(0.50390625, 0.50390625, 0.75)	(269, 329, 197)	(269, 329, 197)	12
125	topcow_mr_001	(0.296875, 0.296875, 0.5999941825866699)	(0.296875, 0.296875, 0.5999941825866699)	(508, 585, 189)	(508, 585, 189)	12
126	topcow_mr_002	(0.2968749701976776, 0.296875, 0.6000015735626221)	(0.2968749701976776, 0.296875, 0.6000015735626221)	(480, 536, 248)	(480, 536, 248)	12
127	topcow_mr_003	(0.296875, 0.296875, 0.5999999642372131)	(0.296875, 0.296875, 0.5999999642372131)	(510, 577, 179)	(510, 577, 179)	12
128	topcow_mr_004	(0.2968749701976776, 0.296875, 0.6000019907951355)	(0.2968749701976776, 0.296875, 0.6000019907951355)	(500, 607, 200)	(500, 607, 200)	12
129	topcow_mr_005	(0.296875, 0.296875, 0.6000010967254639)	(0.296875, 0.296875, 0.6000010967254639)	(470, 566, 196)	(470, 566, 196)	12
130	topcow_mr_006	(0.3515625, 0.3515625, 0.5000007748603821)	(0.3515625, 0.3515625, 0.5000007748603821)	(429, 507, 139)	(429, 507, 139)	15
131	topcow_mr_007	(0.296875, 0.296875, 0.5999962091445923)	(0.296875, 0.296875, 0.5999962091445923)	(490, 561, 200)	(490, 561, 200)	12
132	topcow_mr_008	(0.296875, 0.296875, 0.5999972820281982)	(0.296875, 0.296875, 0.5999972820281982)	(485, 592, 181)	(485, 592, 181)	15
133	topcow_mr_009	(0.2968750298023224, 0.296875, 0.5999988913536072)	(0.2968750298023224, 0.296875, 0.5999988913536072)	(500, 586, 194)	(500, 586, 194)	12
134	topcow_mr_010	(0.296875, 0.296875, 0.5999994277954102)	(0.296875, 0.296875, 0.5999994277954102)	(459, 556, 194)	(459, 556, 194)	12
135	topcow_mr_011	(0.296875, 0.296875, 0.6000003218650818)	(0.296875, 0.296875, 0.6000003218650818)	(470, 581, 153)	(470, 581, 153)	15
136	topcow_mr_012	(0.296875, 0.296875, 0.5999979376792908)	(0.296875, 0.296875, 0.5999979376792908)	(469, 611, 174)	(469, 611, 174)	12
137	topcow_mr_013	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(470, 597, 186)	(470, 597, 186)	12
138	topcow_mr_014	(0.296875, 0.296875, 0.6000016331672668)	(0.296875, 0.296875, 0.6000016331672668)	(485, 636, 174)	(485, 636, 174)	15
139	topcow_mr_015	(0.2968749701976776, 0.296875, 0.599994421005249)	(0.2968749701976776, 0.296875, 0.599994421005249)	(485, 587, 189)	(485, 587, 189)	12
140	topcow_mr_016	(0.296875, 0.296875, 0.5999991297721863)	(0.296875, 0.296875, 0.5999991297721863)	(464, 541, 200)	(464, 541, 200)	12
141	topcow_mr_017	(0.296875, 0.2968750298023224, 0.599997878074646)	(0.296875, 0.2968750298023224, 0.599997878074646)	(515, 627, 189)	(515, 627, 189)	12
142	topcow_mr_018	(0.296875, 0.296875, 0.5999959707260132)	(0.296875, 0.296875, 0.5999959707260132)	(490, 616, 176)	(490, 616, 176)	12
143	topcow_mr_019	(0.296875, 0.296875, 0.6000005006790161)	(0.296875, 0.296875, 0.6000005006790161)	(490, 627, 191)	(490, 627, 191)	12
144	topcow_mr_020	(0.2968749701976776, 0.296875, 0.600004255771637)	(0.2968749701976776, 0.296875, 0.600004255771637)	(480, 611, 176)	(480, 611, 176)	12
145	topcow_mr_021	(0.296875, 0.296875, 0.599998414516449)	(0.296875, 0.296875, 0.599998414516449)	(479, 585, 174)	(479, 585, 174)	12
146	topcow_mr_022	(0.2968749701976776, 0.296875, 0.5999965071678162)	(0.2968749701976776, 0.296875, 0.5999965071678162)	(495, 592, 199)	(495, 592, 199)	15
147	topcow_mr_023	(0.296875, 0.296875, 0.6000003814697266)	(0.296875, 0.296875, 0.6000003814697266)	(495, 577, 194)	(495, 577, 194)	12
148	topcow_mr_024	(0.296875, 0.2968749701976776, 0.6000002026557922)	(0.296875, 0.2968749701976776, 0.6000002026557922)	(475, 570, 149)	(475, 570, 149)	12
149	topcow_mr_025	(0.296875, 0.296875, 0.5999941229820251)	(0.296875, 0.296875, 0.5999941229820251)	(450, 551, 190)	(450, 551, 190)	12
150	topcow_mr_026	(0.296875, 0.296875, 0.6000006794929504)	(0.296875, 0.296875, 0.6000006794929504)	(464, 561, 174)	(464, 561, 174)	12
151	topcow_mr_027	(0.296875, 0.296875, 0.599998414516449)	(0.296875, 0.296875, 0.599998414516449)	(470, 597, 181)	(470, 597, 181)	12
152	topcow_mr_028	(0.2968749701976776, 0.2968749701976776, 0.5999988913536072)	(0.2968749701976776, 0.2968749701976776, 0.5999988913536072)	(480, 636, 174)	(480, 636, 174)	12
153	topcow_mr_029	(0.296875, 0.296875, 0.6000034213066101)	(0.296875, 0.296875, 0.6000034213066101)	(515, 640, 191)	(515, 640, 191)	12
154	topcow_mr_030	(0.296875, 0.2968749701976776, 0.6000051498413086)	(0.296875, 0.2968749701976776, 0.6000051498413086)	(485, 581, 184)	(485, 581, 184)	12
155	topcow_mr_031	(0.296875, 0.2968749701976776, 0.5999993681907654)	(0.296875, 0.2968749701976776, 0.5999993681907654)	(473, 561, 208)	(473, 561, 208)	12
156	topcow_mr_032	(0.2968749701976776, 0.296875, 0.6000020503997803)	(0.2968749701976776, 0.296875, 0.6000020503997803)	(475, 627, 171)	(475, 627, 171)	12
157	topcow_mr_033	(0.296875, 0.296875, 0.599998414516449)	(0.296875, 0.296875, 0.599998414516449)	(469, 607, 174)	(469, 607, 174)	12
158	topcow_mr_034	(0.296875, 0.296875, 0.600006103515625)	(0.296875, 0.296875, 0.600006103515625)	(475, 602, 171)	(475, 602, 171)	12
159	topcow_mr_035	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(449, 535, 200)	(449, 535, 200)	12
160	topcow_mr_036	(0.296875, 0.2968749701976776, 0.6000025868415833)	(0.296875, 0.2968749701976776, 0.6000025868415833)	(474, 557, 200)	(474, 557, 200)	12
161	topcow_mr_037	(0.296875, 0.296875, 0.5999990105628967)	(0.296875, 0.296875, 0.5999990105628967)	(439, 566, 189)	(439, 566, 189)	12
162	topcow_mr_038	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(480, 566, 176)	(480, 566, 176)	12
163	topcow_mr_039	(0.296875, 0.2968749701976776, 0.6000023484230042)	(0.296875, 0.2968749701976776, 0.6000023484230042)	(493, 540, 186)	(493, 540, 186)	12
164	topcow_mr_040	(0.296875, 0.296875, 0.600001335144043)	(0.296875, 0.296875, 0.600001335144043)	(480, 597, 194)	(480, 597, 194)	15
165	topcow_mr_041	(0.296875, 0.296875, 0.6000022292137146)	(0.296875, 0.296875, 0.6000022292137146)	(500, 602, 199)	(500, 602, 199)	12
166	topcow_mr_042	(0.296875, 0.2968750298023224, 0.5999986529350281)	(0.296875, 0.2968750298023224, 0.5999986529350281)	(505, 590, 171)	(505, 590, 171)	12
167	topcow_mr_043	(0.296875, 0.296875, 0.599995493888855)	(0.296875, 0.296875, 0.599995493888855)	(495, 587, 189)	(495, 587, 189)	15
168	topcow_mr_044	(0.296875, 0.2968749701976776, 0.6000057458877563)	(0.296875, 0.2968749701976776, 0.6000057458877563)	(510, 561, 194)	(510, 561, 194)	12
169	topcow_mr_045	(0.296875, 0.296875, 0.5999975204467773)	(0.296875, 0.296875, 0.5999975204467773)	(510, 582, 194)	(510, 582, 194)	12
170	topcow_mr_046	(0.296875, 0.296875, 0.600002110004425)	(0.296875, 0.296875, 0.600002110004425)	(475, 545, 179)	(475, 545, 179)	15
171	topcow_mr_047	(0.3125000298023224, 0.3125, 0.5499998331069946)	(0.3125000298023224, 0.3125, 0.5499998331069946)	(461, 627, 187)	(461, 627, 187)	12
172	topcow_mr_048	(0.296875, 0.296875, 0.599999189376831)	(0.296875, 0.296875, 0.599999189376831)	(510, 617, 194)	(510, 617, 194)	12
173	topcow_mr_049	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(480, 571, 181)	(480, 571, 181)	12
174	topcow_mr_050	(0.2968749701976776, 0.296875, 0.6000005006790161)	(0.2968749701976776, 0.296875, 0.6000005006790161)	(485, 571, 198)	(485, 571, 198)	12
175	topcow_mr_051	(0.296875, 0.296875, 0.599998414516449)	(0.296875, 0.296875, 0.599998414516449)	(500, 590, 176)	(500, 590, 176)	12
176	topcow_mr_052	(0.2968749701976776, 0.296875, 0.600002110004425)	(0.2968749701976776, 0.296875, 0.600002110004425)	(480, 601, 191)	(480, 601, 191)	15
177	topcow_mr_053	(0.2968750298023224, 0.296875, 0.6000009775161743)	(0.2968750298023224, 0.296875, 0.6000009775161743)	(464, 570, 179)	(464, 570, 179)	12
178	topcow_mr_054	(0.296875, 0.2968749701976776, 0.599996030330658)	(0.296875, 0.2968749701976776, 0.599996030330658)	(515, 536, 200)	(515, 536, 200)	12
